61.86529141493299|10.963467953080208|-17.894501277010207|;213
73.47178316216531|1.5817444861323773|-4.8530363863202775|;277
57.50057007944429|13.087454871439597|9.887461817250534|;206
62.27226773928585|11.195935483223144|-18.40492829504684|;12
57.34027555940169|13.190056805771915|9.798384676916507|;12
73.23921431068112|1.5838677070596376|-4.816265974831415|;12
57.379458094653536|13.039416966273713|9.664333060294847|;71
62.122142620349805|10.988241281945257|-18.13776027915746|;71
73.37405520497454|1.5895074317875992|-4.814585233767572|;7
57.46259238903859|13.241016442476976|10.0267660864248|;7
70.70131353206804|4.058029048997274|-8.754324283708012|;4
53.51075113624749|13.20336157533057|8.732418771563351|;3
66.54801067341995|10.674225451463647|8.895116967585075|;3
66.84049137925605|10.855973683702107|9.065262231802917|;1
53.62085194184883|13.067345384372329|8.65374697522827|;1
